Late Evening;Between 9pm and 12am;446 Hours;23%
Midday;Between 10am and 2pm;342 Hours;18%
Early Evening;Between 5pm and 9pm;338 Hours;18%
Night Owl Hours;Between 12am and 4am;284 Hours;15%
Late Afternoon;Between 2pm and 5pm;264 Hours;14%
Early Morning;Between 7am and 10am;135 Hours;7%
Crack of Dawn;Between 4am and 7am;123 Hours;6%
